id_albuma,genre
169,Heavy Metal
170,Noise Rock
170,Industrial Rock
171,Post-Punk
172,Electronic
173,Technical Death Metal
173,Death Metal
174,Heartland Rock
175,Funk Rock
176,Punk Rock
176,Art Punk
177,NWOBHM
177,Heavy Metal
178,Singer/Songwriter
178,Chamber Folk
178,Contemporary Folk
179,Jazz Fusion
179,Jazz-Funk
180,Progressive Rock
180,Symphonic Prog
181,UK Hip Hop
181,Conscious Hip Hop
182,ECM Style Jazz
183,Hard Rock
184,Roots Reggae
185,Alternative Rock
185,Post-Punk
186,Cool Jazz
187,Avant-Garde Jazz
188,Video Game Music
188,16-bit
189,Contemporary Folk
189,Singer/Songwriter
190,Roots Rock
190,Rock
191,Folk Pop
191,Singer/Songwriter
192,Drone Metal
192,Post-Metal
192,Drone
192,Noise Rock
193,Glam Rock
193,Pop Rock
194,Progressive Metal
195,Alt-Country
195,Country Rock
196,Jam Band
196,Psychedelic Rock
197,Free Jazz
197,Spiritual Jazz
198,Deep Soul
198,Southern Soul
199,East Coast Hip Hop
200,Jazz-Rock
200,Jazz Fusion
201,Hard Rock
202,Art Rock
202,Experimental Rock
202,Glam Rock
203,Minimalism
203,Modern Classical
204,Art Pop
204,Indie Folk
204,Singer/Songwriter
205,Video Game Music
205,16-bit
206,Video Game Music
206,Sequencer &amp; Tracker
207,Alternative Rock
207,Art Rock
208,East Coast Hip Hop
208,Boom Bap
209,Psychedelic Rock
209,Psychedelic Pop
210,Heavy Metal
210,Hard Rock
211,Hard Rock
212,Garage Rock
212,Psychedelic Rock
212,Heavy Psych
213,Grunge
214,Progressive Rock
214,Hard Rock
215,Television Music
215,Jazz
216,Jazz-Rock
216,Pop Rock
217,Progressive Rock
217,Rock Opera
218,Dream Pop
218,Downtempo
218,Ambient Pop
219,Art Rock
220,Singer/Songwriter
220,Indie Pop
221,Modal Jazz
222,Film Score
222,Dark Jazz
223,Romanticism
224,Blues Rock
224,Jam Band
225,Pop Rap
225,Experimental Hip Hop
226,Electronic
226,Experimental Rock
227,Blues Rock
227,Psychedelic Rock
228,Post-Hardcore
229,Abstract Hip Hop
229,East Coast Hip Hop
230,Film Score
230,Cinematic Classical
230,Orchestral
231,Samba Soul
231,Samba-rock
231,MPB
232,Art Rock
233,Noise Rock
233,Alternative Rock
234,Chicago Soul
235,Modern Classical
235,Orchestral
236,Indie Rock
237,Post-Punk
237,Art Punk
238,Video Game Music
238,Cinematic Classical
